Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;0;30;1515.07;16.29;10.47;14.3;12.16;89.16;7.08;74.03;8.06;89.2;0;29.539;3.137;9.039;2.387;3.907;3.236;8.504;0.148
1;5;35;1465.18;18.85;11.34;15.35;13.01;110.43;12.58;91.04;6.81;110.4;0;38.629;2.677;10.311;2.829;4.294;3.911;10.491;0.201
1;10;40;1424.27;21.52;12.2;16.42;13.83;134.26;21.7;105.15;7.42;134.3;0;47.957;2.942;11.508;3.305;4.622;4.648;12.725;0.258
1;15;45;1387.71;23.97;12.96;17.43;14.55;157.48;34.91;116.87;5.69;157.5;0;58.036;2.26;12.511;3.756;4.858;5.353;14.937;0.315
1;20;50;1353.52;26.2;13.62;18.37;15.17;179.65;57.78;116.25;5.61;179.7;0;67.083;2.241;13.341;4.178;5.023;6.018;17.086;0.371
1;25;55;1321.22;27.98;14.15;19.17;15.65;198.11;68.54;124.08;5.49;198.1;0;74.754;2.203;13.954;4.524;5.117;6.568;18.919;0.424
1;30;60;1290.67;29.6;14.61;19.92;16.08;215.36;84.17;125.82;5.36;215.4;0;81.959;2.157;14.47;4.842;5.177;7.077;20.658;0.475
1;35;65;1261.74;31.06;15.03;20.63;16.47;231.27;101.41;125.56;4.29;231.3;0;89.027;1.724;14.909;5.134;5.212;7.546;22.3;0.525
1;40;70;1198.07;31.54;15.33;21.32;16.77;238.66;115.19;119.5;3.97;238.7;0;92.416;1.599;15.17;5.262;5.184;7.773;23.242;0.569
1;45;75;1127.89;31.62;15.59;21.99;17.04;242.48;121.87;116.97;3.64;242.5;0;94.37;1.469;15.353;5.321;5.133;7.895;23.869;0.61
