Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;10;30;1648.27;13.49;9.26;12.44;11.07;66.81;0;57.62;9.19;66.8;0;21.302;3.609;7.66;1.886;3.6;2.453;6.203;0.13
1;15;35;1600.53;16.1;10.19;13.53;12;86.3;0;77.72;8.58;86.3;0;29.363;3.408;9.129;2.312;4.109;3.088;7.982;0.185
1;20;40;1556.77;18.61;11.04;14.56;12.85;106.81;9.05;90.16;7.6;106.8;0;38.024;3.033;10.463;2.74;4.533;3.739;9.867;0.245
1;25;45;1515.6;20.73;11.75;15.46;13.53;125.46;14.41;103.19;7.86;125.5;0;45.526;3.159;11.54;3.118;4.842;4.322;11.61;0.305
1;30;50;1476.54;22.71;12.39;16.31;14.14;143.81;23.71;113.78;6.31;143.8;0;53.671;2.54;12.472;3.478;5.082;4.886;13.34;0.366
1;35;55;1439.34;24.54;12.97;17.11;14.68;161.57;38.06;117.34;6.17;161.6;0;61.029;2.492;13.29;3.821;5.267;5.426;15.045;0.427
1;40;60;1403.86;26.22;13.5;17.88;15.17;178.53;53.18;120.39;4.96;178.5;0;68.525;2.001;13.997;4.143;5.404;5.938;16.702;0.486
1;45;65;1370.05;27.76;13.97;18.6;15.61;194.55;61.29;128.53;4.72;194.5;0;75.252;1.912;14.607;4.444;5.503;6.418;18.298;0.545
1;50;70;1337.87;29.16;14.39;19.29;16;209.54;80.93;124.09;4.52;209.5;0;81.566;1.833;15.135;4.722;5.571;6.865;19.816;0.602
1;55;75;1307.29;30.44;14.76;19.94;16.36;223.47;90.68;128.45;4.34;223.5;0;87.45;1.763;15.594;4.981;5.617;7.281;21.263;0.657
1;60;80;1277.22;31.59;15.1;20.56;16.67;236.33;107.64;124.52;4.17;236.3;0;92.901;1.699;15.992;5.215;5.643;7.662;22.618;0.711
1;65;85;1205.66;31.64;15.34;21.18;16.91;239.61;114.89;120.86;3.85;239.6;0;94.557;1.571;16.182;5.269;5.589;7.777;23.202;0.755
1;70;90;1142.12;31.68;15.56;21.78;17.15;242.61;122.8;116.25;3.57;242.6;0;96.074;1.459;16.351;5.317;5.536;7.879;23.743;0.797
