Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;0;30;1522.26;13.88;9.56;13.5;11.28;70.38;0;61.73;8.65;70.4;0;22.203;3.339;7.802;1.997;3.458;2.66;6.884;0.124
1;5;35;1466.45;16.23;10.37;14.48;12.09;87.99;7.7;72.6;7.69;88;0;29.637;3.002;9.043;2.387;3.858;3.247;8.566;0.174
1;10;40;1424.82;18.73;11.18;15.49;12.88;108.26;13.26;88.45;6.55;108.3;0;38.156;2.572;10.264;2.819;4.221;3.906;10.508;0.228
1;15;45;1388.85;21.06;11.91;16.44;13.57;128.46;18.04;103.46;6.97;128.5;0;46.077;2.755;11.302;3.235;4.496;4.549;12.462;0.283
1;20;50;1355.83;23.22;12.56;17.34;14.18;148.27;36.84;106;5.44;148.3;0;54.66;2.151;12.185;3.632;4.701;5.169;14.402;0.338
1;25;55;1324.95;24.98;13.09;18.11;14.67;165.24;48.95;110.94;5.35;165.2;0;61.613;2.126;12.859;3.966;4.833;5.696;16.095;0.391
1;30;60;1295.84;26.6;13.56;18.83;15.1;181.28;62.22;113.81;5.25;181.3;0;68.215;2.095;13.423;4.277;4.922;6.19;17.721;0.443
1;35;65;1268.29;28.08;13.98;19.52;15.49;196.4;71.3;119.95;5.15;196.4;0;74.467;2.059;13.904;4.566;4.983;6.652;19.277;0.493
1;40;70;1242.17;29.44;14.36;20.16;15.84;210.59;90.48;116.03;4.08;210.6;0;80.75;1.631;14.315;4.834;5.021;7.081;20.756;0.542
1;45;75;1217.38;30.68;14.7;20.78;16.15;223.77;105.75;114.09;3.93;223.8;0;86.263;1.572;14.669;5.083;5.041;7.48;22.158;0.59
1;50;80;1184.42;31.59;14.99;21.36;16.43;234.17;114.35;116.06;3.75;234.2;0;90.686;1.505;14.946;5.274;5.038;7.795;23.321;0.635
