Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;15;35;1846.02;13.29;8.69;11.44;10.61;62.66;0;49.46;13.2;62.7;0;18.923;5.28;6.808;1.807;3.35;2.288;5.661;0.151
1;20;40;1814.99;15.93;9.5;12.41;11.44;80.76;0;70.29;10.47;80.8;0;27.287;4.214;8.09;2.22;3.812;2.891;7.293;0.206
1;25;45;1784.35;18.25;10.2;13.25;12.12;98.03;0;88.53;9.5;98;0;34.692;3.836;9.141;2.599;4.158;3.456;8.867;0.262
1;30;50;1753.32;20.46;10.84;14.06;12.73;115.73;10.72;97.02;7.99;115.7;0;42.518;3.232;10.074;2.974;4.438;4.024;10.496;0.32
1;35;55;1721.27;22.55;11.43;14.83;13.29;133.47;15.52;111.62;6.33;133.5;0;50.449;2.562;10.884;3.341;4.653;4.587;12.15;0.377
1;40;60;1687.73;24.49;11.97;15.55;13.79;150.66;21.12;123.52;6.03;150.7;0;57.625;2.444;11.577;3.69;4.812;5.13;13.785;0.433
1;45;65;1652.43;26.28;12.46;16.25;14.24;167.3;25.94;135.61;5.75;167.3;0;64.585;2.338;12.172;4.022;4.926;5.651;15.394;0.488
1;50;70;1615.24;27.92;12.91;16.92;14.64;183.11;43.27;134.35;5.5;183.1;0;71.214;2.239;12.686;4.333;5.006;6.145;16.959;0.541
1;55;75;1576.19;29.42;13.31;17.57;15;197.9;59.37;133.27;5.25;197.9;0;77.434;2.141;13.128;4.625;5.056;6.611;18.468;0.591
1;60;80;1535.5;30.77;13.67;18.2;15.33;211.74;68.24;138.48;5.01;211.7;0;83.276;2.046;13.515;4.895;5.084;7.046;19.916;0.641
1;65;85;1493.5;31.99;13.99;18.8;15.61;224.47;82.36;137.33;4.78;224.5;0;88.672;1.953;13.852;5.144;5.096;7.451;21.291;0.688
1;70;90;1419.19;32.46;14.24;19.4;15.84;230.94;92.64;133.87;4.43;230.9;0;91.578;1.812;14.086;5.271;5.067;7.679;22.182;0.73
1;75;95;1338.34;32.59;14.45;19.99;16.04;234.57;99.52;130.99;4.07;234.6;0;93.335;1.667;14.268;5.344;5.021;7.825;22.839;0.768
1;80;100;1266.71;32.73;14.65;20.56;16.23;238.14;105.89;128.49;3.76;238.1;0;95.034;1.541;14.434;5.413;4.976;7.964;23.472;0.806
1;85;105;1202.84;32.87;14.84;21.11;16.41;241.52;118.34;119.69;3.49;241.5;0;96.639;1.431;14.586;5.479;4.93;8.094;24.079;0.843
