Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;0;30;1521.85;12.23;8.92;12.92;10.65;58.51;0;51.28;7.23;58.5;0;18.412;2.777;6.981;1.736;3.165;2.279;5.832;0.114
1;5;35;1460.84;14.35;9.68;13.81;11.42;73.37;5.08;61.52;6.77;73.4;0;24.516;2.631;8.164;2.078;3.565;2.787;7.258;0.16
1;10;40;1419.31;16.63;10.45;14.75;12.19;90.7;8.98;73.87;7.85;90.7;0;30.948;3.078;9.358;2.46;3.942;3.364;8.923;0.213
1;15;45;1384.25;18.8;11.16;15.63;12.87;108.44;13.82;88.03;6.59;108.4;0;38.502;2.591;10.421;2.838;4.253;3.942;10.634;0.268
1;20;50;1352.79;20.84;11.81;16.48;13.48;126.08;22.12;98.52;5.44;126.1;0;46.003;2.141;11.338;3.202;4.493;4.506;12.352;0.324
1;25;55;1323.55;22.53;12.33;17.2;13.97;141.53;34.82;101.32;5.39;141.5;0;52.263;2.129;12.056;3.515;4.66;4.995;13.879;0.377
1;30;60;1296.04;24.11;12.81;17.9;14.41;156.44;45.7;105.4;5.33;156.4;0;58.324;2.114;12.679;3.811;4.786;5.462;15.371;0.431
1;35;65;1270;25.56;13.25;18.55;14.82;170.72;57.56;108.91;4.25;170.7;0;64.563;1.685;13.213;4.09;4.878;5.905;16.816;0.483
1;40;70;1245.27;26.91;13.64;19.17;15.18;184.19;69.1;111.01;4.07;184.2;0;70.126;1.617;13.674;4.351;4.944;6.32;18.2;0.534
