Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;15;45;1562.55;13.55;9.01;12.55;10.83;65.45;0;55.77;9.68;65.5;0;21.521;3.87;7.034;1.897;3.255;2.477;6.273;0.199
1;20;50;1538.99;15.27;9.55;13.24;11.37;77.35;0;68.72;8.63;77.3;0;26.742;3.459;7.862;2.176;3.528;2.891;7.423;0.248
1;25;55;1516.26;16.96;10.06;13.91;11.87;89.66;7.76;74.44;7.45;89.7;0;32.191;2.994;8.616;2.457;3.759;3.313;8.618;0.298
1;30;60;1494;18.58;10.54;14.55;12.33;102.18;10.88;83.49;7.81;102.2;0;37.122;3.145;9.302;2.735;3.953;3.737;9.844;0.349
1;35;65;1471.92;20.14;10.99;15.17;12.76;114.71;14.53;93.92;6.27;114.7;0;42.833;2.524;9.908;3.009;4.108;4.156;11.082;0.399
1;40;70;1449.77;21.62;11.41;15.75;13.15;127.05;18.62;103.6;4.83;127;0;48.44;1.944;10.445;3.273;4.231;4.567;12.315;0.449
1;45;75;1427.42;23.02;11.79;16.32;13.5;139.18;23.14;111.4;4.65;139.2;0;53.463;1.872;10.911;3.529;4.323;4.965;13.537;0.498
1;50;80;1404.73;24.33;12.16;16.87;13.84;150.96;35.18;111.3;4.48;151;0;58.345;1.806;11.322;3.774;4.393;5.351;14.741;0.546
1;55;85;1381.65;25.57;12.49;17.39;14.14;162.3;41.46;116.52;4.32;162.3;0;63.052;1.746;11.679;4.009;4.441;5.722;15.92;0.592
1;60;90;1358.15;26.73;12.8;17.9;14.42;173.22;52.64;116.4;4.18;173.2;0;67.586;1.69;11.992;4.232;4.473;6.077;17.069;0.636
1;65;95;1334.23;27.81;13.09;18.39;14.68;183.63;59.35;120.24;4.04;183.6;0;71.92;1.636;12.267;4.443;4.492;6.415;18.182;0.679
1;70;100;1309.96;28.81;13.35;18.87;14.91;193.47;73.23;116.33;3.91;193.5;0;76.026;1.584;12.509;4.642;4.5;6.735;19.253;0.721
1;75;105;1285.41;29.74;13.6;19.33;15.13;202.77;79.72;119.27;3.78;202.8;0;79.914;1.534;12.724;4.83;4.5;7.038;20.285;0.761
1;80;110;1260.71;30.6;13.83;19.77;15.33;211.59;86.32;121.61;3.66;211.6;0;83.608;1.485;12.914;5.007;4.493;7.325;21.28;0.801
1;85;115;1235.96;31.41;14.04;20.21;15.52;219.94;88.73;127.68;3.54;219.9;0;87.112;1.438;13.084;5.173;4.481;7.597;22.236;0.839
