Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;0;20;1766.86;12.59;9.15;12.14;10.85;61.86;0;53.69;8.17;61.9;0;18.359;3.1;7.033;1.753;3.351;2.257;5.675;0.072
1;5;25;1677.13;16.09;10.37;13.58;12.11;87.65;0;79.58;8.07;87.7;0;28.811;3.153;8.983;2.318;4.041;3.097;8.017;0.124
1;10;30;1616.36;19.85;11.58;15.06;13.31;118.82;12.09;99.34;7.39;118.8;0;41.544;2.924;10.894;2.96;4.643;4.073;10.864;0.184
1;15;35;1563.34;23.36;12.65;16.43;14.34;150.67;24.32;118.58;7.77;150.7;0;54.236;3.111;12.496;3.587;5.082;5.043;13.815;0.247
1;20;40;1514.4;26.5;13.56;17.69;15.2;181.41;42.85;132.3;6.26;181.4;0;67.374;2.515;13.781;4.173;5.37;5.962;16.729;0.309
1;25;45;1467.78;28.98;14.26;18.76;15.85;206.92;57.08;143.86;5.99;206.9;0;78.08;2.418;14.717;4.65;5.532;6.72;19.232;0.368
1;30;50;1422.66;31.14;14.85;19.74;16.4;230.04;86.05;138.27;5.71;230;0;87.868;2.319;15.478;5.077;5.629;7.402;21.563;0.426
1;35;55;1291.81;31.2;15.22;20.73;16.79;234.96;102.69;127.25;5.02;235;0;90.623;2.048;15.802;5.159;5.555;7.582;22.466;0.47
1;40;60;1185.1;31.29;15.58;21.65;17.16;239.88;110.78;124.62;4.49;239.9;0;93.252;1.835;16.078;5.237;5.48;7.746;23.314;0.513
