Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;0;20;1768.82;10.5;8.26;11.16;9.94;47.5;0;38.81;8.68;47.5;0;13.151;3.278;5.886;1.427;2.94;1.784;4.393;0.058
1;5;25;1685.32;12.94;9.2;12.21;10.95;63.82;0;55.07;8.75;63.8;0;19.986;3.422;7.335;1.801;3.49;2.326;5.855;0.101
1;10;30;1629.54;15.61;10.19;13.34;11.96;83.89;0;75.5;8.39;83.9;0;28.327;3.338;8.871;2.234;4.036;2.971;7.651;0.153
1;15;35;1581.1;18.23;11.12;14.43;12.88;105.41;8.39;87.54;9.48;105.4;0;36.684;3.815;10.297;2.677;4.505;3.643;9.589;0.211
1;20;40;1536.62;20.7;11.97;15.47;13.71;127.39;14.32;105.22;7.85;127.4;0;46.363;3.175;11.569;3.113;4.884;4.315;11.596;0.273
1;25;45;1494.59;22.74;12.66;16.36;14.36;146.86;23.03;117.34;6.49;146.9;0;55.021;2.633;12.567;3.488;5.148;4.902;13.401;0.334
1;30;50;1454.75;24.65;13.28;17.2;14.95;165.83;44.98;114.55;6.31;165.8;0;63.007;2.571;13.443;3.846;5.353;5.466;15.187;0.395
1;35;55;1416.91;26.4;13.84;18.01;15.48;183.96;55.53;122.31;6.12;184;0;70.668;2.505;14.207;4.182;5.508;6;16.927;0.456
1;40;60;1380.98;28.01;14.35;18.77;15.96;201.11;69.26;126.8;5.04;201.1;0;78.318;2.062;14.873;4.497;5.622;6.503;18.606;0.516
1;45;65;1346.9;29.47;14.79;19.49;16.38;217.15;79.98;132.37;4.8;217.1;0;85.178;1.968;15.444;4.788;5.701;6.971;20.204;0.575
