date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
20.1.2000;-0.45;-0.346491624;-0.290752572;-0.256158853;-0.231967934;-0.214189457;-0.201172819;-0.192006192;-0.186147463;-0.183288415;-0.183288415;-0.186147463;-0.192006192;-0.201172819;-0.214189457;-0.231967934;-0.256158853;-0.290752572;-0.346491624;-0.45
21.1.2000;-0.45;-0.350701279;-0.295915707;-0.261637658;-0.237766559;-0.22022108;-0.207360602;-0.19829558;-0.192498908;-0.189669318;-0.189669318;-0.192498908;-0.19829558;-0.207360602;-0.22022108;-0.237766559;-0.261637658;-0.295915707;-0.350701279;-0.45
22.1.2000;-0.45;-0.354586462;-0.300719688;-0.266728605;-0.243153228;-0.225833585;-0.213127577;-0.20416383;-0.198428776;-0.19562857;-0.19562857;-0.198428776;-0.20416383;-0.213127577;-0.225833585;-0.243153228;-0.266728605;-0.300719688;-0.354586462;-0.45
23.1.2000;-0.45;-0.358182497;-0.305207454;-0.271483868;-0.248180436;-0.231078684;-0.218524966;-0.209661961;-0.203988068;-0.201216709;-0.201216709;-0.203988068;-0.209661961;-0.218524966;-0.231078684;-0.248180436;-0.271483868;-0.305207454;-0.358182497;-0.45
24.1.2000;-0.45;-0.361519004;-0.309415052;-0.275946558;-0.252891981;-0.235999664;-0.223595705;-0.214832774;-0.20922024;-0.206478065;-0.206478065;-0.20922024;-0.214832774;-0.223595705;-0.235999664;-0.252891981;-0.275946558;-0.309415052;-0.361519004;-0.45
25.1.2000;-0.45;-0.364623674;-0.313374077;-0.280153998;-0.257326387;-0.240634487;-0.228377379;-0.219713674;-0.214162229;-0.211449217;-0.211449217;-0.214162229;-0.219713674;-0.228377379;-0.240634487;-0.257326387;-0.280153998;-0.313374077;-0.364623674;-0.45
26.1.2000;-0.45;-0.367513047;-0.317104323;-0.28413252;-0.261509951;-0.245007685;-0.232893213;-0.224327202;-0.218836147;-0.216152004;-0.216152004;-0.218836147;-0.224327202;-0.232893213;-0.245007685;-0.261509951;-0.28413252;-0.317104323;-0.367513047;-0.45
27.1.2000;-0.45;-0.370210724;-0.320633544;-0.2879153;-0.265478409;-0.249154626;-0.237178183;-0.228708234;-0.223276953;-0.220621416;-0.220621416;-0.223276953;-0.228708234;-0.237178183;-0.249154626;-0.265478409;-0.2879153;-0.320633544;-0.370210724;-0.45
28.1.2000;-0.45;-0.372728865;-0.323976692;-0.291517876;-0.269249167;-0.253091902;-0.24124798;-0.232871765;-0.227499319;-0.22487201;-0.22487201;-0.227499319;-0.232871765;-0.24124798;-0.253091902;-0.269249167;-0.291517876;-0.323976692;-0.372728865;-0.45
29.1.2000;-0.45;-0.375085182;-0.327152978;-0.294962259;-0.272846222;-0.256843552;-0.245126494;-0.236841406;-0.231526739;-0.228927289;-0.228927289;-0.231526739;-0.236841406;-0.245126494;-0.256843552;-0.272846222;-0.294962259;-0.327152978;-0.375085182;-0.45
30.1.2000;-0.45;-0.37728555;-0.330164695;-0.298252598;-0.276275533;-0.26041507;-0.248818466;-0.240621258;-0.235362852;-0.232790675;-0.232790675;-0.235362852;-0.240621258;-0.248818466;-0.26041507;-0.276275533;-0.298252598;-0.330164695;-0.37728555;-0.45
31.1.2000;-0.45;-0.379349855;-0.33303061;-0.301408273;-0.279559738;-0.263830196;-0.252347965;-0.244235579;-0.239031943;-0.236486464;-0.236486464;-0.239031943;-0.244235579;-0.252347965;-0.263830196;-0.279559738;-0.301408273;-0.33303061;-0.379349855;-0.45
1.2.2000;-0.45;-0.381284399;-0.335753828;-0.304430778;-0.282702993;-0.267093097;-0.255718471;-0.247687306;-0.242536609;-0.240017056;-0.240017056;-0.242536609;-0.247687306;-0.255718471;-0.267093097;-0.282702993;-0.304430778;-0.335753828;-0.381284399;-0.45
2.2.2000;-0.45;-0.383105075;-0.338349013;-0.307334059;-0.2857227;-0.270221668;-0.258947775;-0.250994182;-0.245894606;-0.24340021;-0.24340021;-0.245894606;-0.250994182;-0.258947775;-0.270221668;-0.2857227;-0.307334059;-0.338349013;-0.383105075;-0.45
3.2.2000;-0.45;-0.384823535;-0.340826517;-0.310127053;-0.288629101;-0.273227889;-0.262048061;-0.254168364;-0.249118009;-0.246647984;-0.246647984;-0.249118009;-0.254168364;-0.262048061;-0.273227889;-0.288629101;-0.310127053;-0.340826517;-0.384823535;-0.45
4.2.2000;-0.45;-0.386454674;-0.343201188;-0.312823831;-0.291438137;-0.276129018;-0.26503705;-0.257227813;-0.252224881;-0.249778468;-0.249778468;-0.252224881;-0.257227813;-0.26503705;-0.276129018;-0.291438137;-0.312823831;-0.343201188;-0.386454674;-0.45
5.2.2000;-0.45;-0.387998745;-0.345470996;-0.315420531;-0.294146822;-0.278922421;-0.267911829;-0.26016923;-0.255211635;-0.252787918;-0.252787918;-0.255211635;-0.26016923;-0.267911829;-0.278922421;-0.294146822;-0.315420531;-0.345470996;-0.387998745;-0.45
6.2.2000;-0.45;-0.389462215;-0.347641078;-0.317921105;-0.29676023;-0.281614067;-0.270678598;-0.262998692;-0.258084265;-0.255682281;-0.255682281;-0.258084265;-0.262998692;-0.270678598;-0.281614067;-0.29676023;-0.317921105;-0.347641078;-0.389462215;-0.45
7.2.2000;-0.45;-0.390859663;-0.349726946;-0.320341045;-0.299295647;-0.284223464;-0.27335666;-0.265735456;-0.260862092;-0.258480928;-0.258480928;-0.260862092;-0.265735456;-0.27335666;-0.284223464;-0.299295647;-0.320341045;-0.349726946;-0.390859663;-0.45
8.2.2000;-0.45;-0.392189939;-0.351726358;-0.322677242;-0.301749913;-0.286747198;-0.275943069;-0.268376308;-0.263541653;-0.26118026;-0.26118026;-0.263541653;-0.268376308;-0.275943069;-0.286747198;-0.301749913;-0.322677242;-0.351726358;-0.392189939;-0.45
9.2.2000;-0.45;-0.351762029;-0.301006114;-0.266099598;-0.240091478;-0.220034706;-0.204702438;-0.193473688;-0.186070449;-0.182385598;-0.182385598;-0.186070449;-0.193473688;-0.204702438;-0.220034706;-0.240091478;-0.266099598;-0.301006114;-0.351762029;-0.45
10.2.2000;-0.45;-0.332278638;-0.273817792;-0.23494357;-0.205316388;-0.181975321;-0.163797376;-0.150289375;-0.141298371;-0.136799573;-0.136799573;-0.141298371;-0.150289375;-0.163797376;-0.181975321;-0.205316388;-0.23494357;-0.273817792;-0.332278638;-0.45
11.2.2000;-0.45;-0.251858761;-0.143953919;-0.056585818;0;0;0;0;0;0;0;0;0;0;0;0;-0.056585818;-0.143953919;-0.251858761;-0.45
12.2.2000;-0.45;-0.254880891;-0.171228404;-0.118591665;-0.0857458;-0.06635203;-0.054052086;-0.046171093;-0.041419349;-0.039159993;-0.039159993;-0.041419349;-0.046171093;-0.054052086;-0.06635203;-0.0857458;-0.118591665;-0.171228404;-0.254880891;-0.45
13.2.2000;-0.45;-0.269414539;-0.19609339;-0.151179154;-0.121334381;-0.101085608;-0.087236166;-0.077963872;-0.072232933;-0.069490738;-0.069490738;-0.072232933;-0.077963872;-0.087236166;-0.101085608;-0.121334381;-0.151179154;-0.19609339;-0.269414539;-0.45
