date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1.1.2000;-0.5;-0.250938734;-0.218786425;-0.20771259;-0.203283;-0.201419084;-0.200619279;-0.200274492;-0.200128863;-0.200075529;-0.200075529;-0.200128863;-0.200274492;-0.200619279;-0.201419084;-0.203283;-0.20771259;-0.218786425;-0.250938734;-0.5
2.1.2000;-0.5;-0.279581782;-0.235226912;-0.216980073;-0.208355484;-0.204121124;-0.202028961;-0.201006281;-0.200526091;-0.200336515;-0.200336515;-0.200526091;-0.201006281;-0.202028961;-0.204121124;-0.208355484;-0.216980073;-0.235226912;-0.279581782;-0.5
3.1.2000;-0.5;-0.298629874;-0.248409296;-0.225745053;-0.213949343;-0.207557065;-0.204077803;-0.202215477;-0.201269908;-0.200875448;-0.200875448;-0.201269908;-0.202215477;-0.204077803;-0.207557065;-0.213949343;-0.225745053;-0.248409296;-0.298629874;-0.5
4.1.2000;-0.5;-0.280719964;-0.226581748;-0.200214884;-0.185186029;-0.176244907;-0.170873788;-0.167700953;-0.165941669;-0.165160035;-0.165160035;-0.165941669;-0.167700953;-0.170873788;-0.176244907;-0.185186029;-0.200214884;-0.226581748;-0.280719964;-0.5
5.1.2000;-0.5;-0.294342868;-0.237598922;-0.208976361;-0.192058131;-0.181532624;-0.174893182;-0.170775264;-0.168391966;-0.167300845;-0.167300845;-0.168391966;-0.170775264;-0.174893182;-0.181532624;-0.192058131;-0.208976361;-0.237598922;-0.294342868;-0.5
6.1.2000;-0.5;-0.294719694;-0.236301092;-0.205983496;-0.187477869;-0.175560645;-0.167772981;-0.162770339;-0.159778854;-0.158375643;-0.158375643;-0.159778854;-0.162770339;-0.167772981;-0.175560645;-0.187477869;-0.205983496;-0.236301092;-0.294719694;-0.5
7.1.2000;-0.5;-0.298514138;-0.238842139;-0.207292637;-0.187643126;-0.174711734;-0.166071781;-0.160401458;-0.15695015;-0.155314197;-0.155314197;-0.15695015;-0.160401458;-0.166071781;-0.174711734;-0.187643126;-0.207292637;-0.238842139;-0.298514138;-0.5
8.1.2000;-0.5;-0.288196701;-0.227426614;-0.194639222;-0.173770431;-0.15972612;-0.150043482;-0.143511757;-0.139455254;-0.137508163;-0.137508163;-0.139455254;-0.143511757;-0.150043482;-0.15972612;-0.173770431;-0.194639222;-0.227426614;-0.288196701;-0.5
9.1.2000;-0.5;-0.286060334;-0.224307503;-0.190628986;-0.169003439;-0.154294073;-0.144063654;-0.13708703;-0.132714172;-0.130602591;-0.130602591;-0.132714172;-0.13708703;-0.144063654;-0.154294073;-0.169003439;-0.190628986;-0.224307503;-0.286060334;-0.5
10.1.2000;-0.5;-0.294079473;-0.231696452;-0.197568648;-0.175611755;-0.160681017;-0.150357606;-0.14333572;-0.138937587;-0.136813792;-0.136813792;-0.138937587;-0.14333572;-0.150357606;-0.160681017;-0.175611755;-0.197568648;-0.231696452;-0.294079473;-0.5
11.1.2000;-0.5;-0.29896013;-0.236246018;-0.201802253;-0.179558032;-0.16439738;-0.153908669;-0.146783904;-0.142325194;-0.140173036;-0.140173036;-0.142325194;-0.146783904;-0.153908669;-0.16439738;-0.179558032;-0.201802253;-0.236246018;-0.29896013;-0.5
12.1.2000;-0.5;-0.294406997;-0.231430887;-0.196621424;-0.173983095;-0.158462313;-0.147619523;-0.140199943;-0.135535014;-0.13327743;-0.13327743;-0.135535014;-0.140199943;-0.147619523;-0.158462313;-0.173983095;-0.196621424;-0.231430887;-0.294406997;-0.5
13.1.2000;-0.5;-0.300998621;-0.237782218;-0.202831961;-0.180123143;-0.164566508;-0.153762998;-0.146404394;-0.14178965;-0.139559252;-0.139559252;-0.14178965;-0.146404394;-0.153762998;-0.164566508;-0.180123143;-0.202831961;-0.237782218;-0.300998621;-0.5
14.1.2000;-0.5;-0.307038539;-0.243761207;-0.208737636;-0.185956092;-0.170336189;-0.159499201;-0.152150448;-0.147556449;-0.145340096;-0.145340096;-0.147556449;-0.152150448;-0.159499201;-0.170336189;-0.185956092;-0.208737636;-0.243761207;-0.307038539;-0.5
15.1.2000;-0.5;-0.312637473;-0.249396262;-0.214325357;-0.191479702;-0.175786973;-0.164892825;-0.157513481;-0.15291455;-0.150699928;-0.150699928;-0.15291455;-0.157513481;-0.164892825;-0.175786973;-0.191479702;-0.214325357;-0.249396262;-0.312637473;-0.5
16.1.2000;-0.5;-0.315438073;-0.252285037;-0.21717748;-0.194257288;-0.178470174;-0.167491548;-0.160044637;-0.155403212;-0.153168712;-0.153168712;-0.155403212;-0.160044637;-0.167491548;-0.178470174;-0.194257288;-0.21717748;-0.252285037;-0.315438073;-0.5
17.1.2000;-0.5;-0.320538294;-0.257463833;-0.222318555;-0.199357581;-0.183520366;-0.172490241;-0.16500267;-0.16033572;-0.158093368;-0.158093368;-0.16033572;-0.16500267;-0.172490241;-0.183520366;-0.199357581;-0.222318555;-0.257463833;-0.320538294;-0.5
18.1.2000;-0.5;-0.32532063;-0.262379608;-0.227202216;-0.20420935;-0.188320718;-0.177237892;-0.169707716;-0.165010975;-0.162750997;-0.162750997;-0.165010975;-0.169707716;-0.177237892;-0.188320718;-0.20420935;-0.227202216;-0.262379608;-0.32532063;-0.5
19.1.2000;-0.5;-0.329828459;-0.267058164;-0.231849984;-0.208832028;-0.192895059;-0.181762457;-0.174191155;-0.169466773;-0.167193064;-0.167193064;-0.169466773;-0.174191155;-0.181762457;-0.192895059;-0.208832028;-0.231849984;-0.267058164;-0.329828459;-0.5
20.1.2000;-0.5;-0.334099315;-0.271526396;-0.236287476;-0.213247869;-0.197269022;-0.186091657;-0.178482219;-0.173731581;-0.171444906;-0.171444906;-0.173731581;-0.178482219;-0.186091657;-0.197269022;-0.213247869;-0.236287476;-0.271526396;-0.334099315;-0.5
21.1.2000;-0.5;-0.338163813;-0.275808359;-0.240539943;-0.217481209;-0.201467195;-0.190250613;-0.182606609;-0.177831463;-0.175532353;-0.175532353;-0.177831463;-0.182606609;-0.190250613;-0.201467195;-0.217481209;-0.240539943;-0.275808359;-0.338163813;-0.5
22.1.2000;-0.5;-0.342030312;-0.279909494;-0.244617965;-0.221542286;-0.205502772;-0.194247639;-0.186570904;-0.181772548;-0.179461556;-0.179461556;-0.181772548;-0.186570904;-0.194247639;-0.205502772;-0.221542286;-0.244617965;-0.279909494;-0.342030312;-0.5
23.1.2000;-0.5;-0.345713872;-0.283842597;-0.248535492;-0.225444411;-0.209384443;-0.198094934;-0.19038823;-0.185568272;-0.183246114;-0.183246114;-0.185568272;-0.19038823;-0.198094934;-0.209384443;-0.225444411;-0.248535492;-0.283842597;-0.345713872;-0.5
24.1.2000;-0.5;-0.349228288;-0.287619148;-0.252305175;-0.22920038;-0.2131238;-0.201805233;-0.194071436;-0.189231658;-0.186899159;-0.186899159;-0.189231658;-0.194071436;-0.201805233;-0.2131238;-0.22920038;-0.252305175;-0.287619148;-0.349228288;-0.5
25.1.2000;-0.5;-0.352597299;-0.291260772;-0.255950756;-0.232834992;-0.216746461;-0.20540681;-0.197646022;-0.192787244;-0.19044493;-0.19044493;-0.192787244;-0.197646022;-0.20540681;-0.216746461;-0.232834992;-0.255950756;-0.291260772;-0.352597299;-0.5
26.1.2000;-0.5;-0.355801893;-0.294746953;-0.259454091;-0.236330984;-0.220234186;-0.208878313;-0.201093245;-0.19621694;-0.193865479;-0.193865479;-0.19621694;-0.201093245;-0.208878313;-0.220234186;-0.236330984;-0.259454091;-0.294746953;-0.355801893;-0.5
27.1.2000;-0.5;-0.358869123;-0.298103121;-0.262841743;-0.239715585;-0.223614086;-0.212247133;-0.204444088;-0.199549264;-0.197188548;-0.197188548;-0.199549264;-0.204444088;-0.212247133;-0.223614086;-0.239715585;-0.262841743;-0.298103121;-0.358869123;-0.5
