Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;0;20;1764.98;10.75;8.36;11.26;10.05;49.07;0;40.13;8.94;49.1;0;13.589;3.376;6.159;1.463;3.065;1.835;4.528;0.061
1;0;20;1717.12;11.47;8.71;11.68;10.4;54.07;0;44.31;9.76;54.1;0;14.865;3.67;6.635;1.577;3.237;2.005;4.988;0.064
1;5;25;1641.26;14.09;9.67;12.82;11.4;72.36;0;62.93;9.43;72.4;0;22.685;3.683;8.222;1.991;3.817;2.614;6.659;0.11
1;10;30;1587.48;16.98;10.66;14.02;12.41;94.66;6.1;79.9;8.66;94.7;0;32.107;3.442;9.877;2.469;4.379;3.333;8.7;0.166
1;15;35;1540.69;19.75;11.58;15.16;13.31;118.09;12.02;98.57;7.5;118.1;0;42.171;3.007;11.365;2.95;4.835;4.069;10.866;0.226
1;20;40;1497.73;22.32;12.4;16.23;14.1;141.49;18.13;115.57;7.79;141.5;0;51.676;3.151;12.656;3.415;5.188;4.79;13.064;0.289
1;25;45;1457.08;24.45;13.06;17.15;14.72;162.02;30.5;125.36;6.17;162;0;60.916;2.498;13.656;3.812;5.423;5.414;15.03;0.351
1;30;50;1418.52;26.4;13.65;18.03;15.28;181.65;54.61;121.05;5.98;181.6;0;69.21;2.437;14.52;4.185;5.598;6.005;16.946;0.413
1;35;55;1381.89;28.18;14.17;18.85;15.77;200.03;69.45;124.78;5.79;200;0;77.021;2.369;15.261;4.53;5.723;6.557;18.784;0.474
1;40;60;1347.14;29.79;14.64;19.62;16.2;217.25;80.97;130.69;5.59;217.3;0;84.373;2.295;15.894;4.85;5.808;7.069;20.537;0.533
1;45;65;1313.43;31.24;15.05;20.36;16.59;233.11;97.51;131.08;4.53;233.1;0;91.546;1.855;16.438;5.142;5.862;7.54;22.189;0.591
1;50;70;1225.73;31.3;15.33;21.1;16.88;236.99;111.95;120.94;4.1;237;0;93.605;1.686;16.681;5.206;5.801;7.675;22.874;0.637
