Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;45;75;1216.76;17.57;10.64;15.52;12.35;96.94;15;78.12;3.82;96.9;0;36.409;1.515;9.988;2.645;4.061;3.676;9.871;0.468
1;50;80;1197.25;18.37;10.92;15.93;12.61;103.64;17.34;82.62;3.69;103.6;0;39.182;1.464;10.387;2.792;4.156;3.906;10.571;0.516
1;55;85;1178.68;19.15;11.19;16.33;12.86;110.23;19.82;86.84;3.57;110.2;0;41.903;1.418;10.76;2.936;4.24;4.132;11.268;0.565
1;60;90;1160.96;19.9;11.44;16.72;13.1;116.77;21.81;91.5;3.46;116.8;0;44.602;1.376;11.106;3.076;4.313;4.353;11.959;0.613
1;65;95;1144.04;20.61;11.69;17.1;13.33;123.16;32.54;87.26;3.36;123.2;0;47.24;1.338;11.428;3.213;4.375;4.57;12.643;0.662
1;70;100;1127.84;21.31;11.92;17.47;13.55;129.45;35.8;90.39;3.27;129.5;0;49.835;1.303;11.728;3.346;4.43;4.781;13.319;0.71
1;75;105;1112.33;21.97;12.14;17.83;13.75;135.62;38.71;93.72;3.19;135.6;0;52.377;1.271;12.007;3.475;4.476;4.987;13.984;0.757
1;80;110;1097.45;22.61;12.35;18.18;13.95;141.6;45.33;93.16;3.11;141.6;0;54.843;1.242;12.267;3.6;4.515;5.187;14.638;0.805
1;85;115;1083.17;23.22;12.55;18.52;14.14;147.44;46.09;98.31;3.04;147.4;0;57.25;1.214;12.507;3.72;4.547;5.38;15.277;0.851
1;90;120;1069.45;23.81;12.75;18.85;14.31;153.12;55.16;94.99;2.97;153.1;0;59.592;1.189;12.73;3.837;4.574;5.568;15.903;0.897
1;95;125;1056.26;24.37;12.93;19.17;14.48;158.64;58.83;96.89;2.91;158.6;0;61.868;1.165;12.938;3.949;4.596;5.749;16.516;0.943
1;100;130;1043.57;24.91;13.1;19.48;14.65;164.03;62.56;98.62;2.85;164;0;64.092;1.143;13.131;4.058;4.614;5.925;17.117;0.988
1;105;135;1031.35;25.43;13.27;19.79;14.8;169.26;65.25;101.22;2.8;169.3;0;66.253;1.122;13.311;4.164;4.627;6.095;17.704;1.033
1;110;140;1019.58;25.93;13.43;20.08;14.95;174.33;69.1;102.49;2.75;174.3;0;68.347;1.102;13.478;4.266;4.637;6.26;18.277;1.077
1;115;145;1008.23;26.42;13.58;20.37;15.09;179.25;72.98;103.56;2.7;179.2;0;70.375;1.083;13.634;4.364;4.644;6.419;18.838;1.12
1;120;150;997.29;26.88;13.73;20.66;15.23;184.03;75.85;105.53;2.65;184;0;72.353;1.065;13.778;4.459;4.648;6.573;19.382;1.163
