Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;15;45;1372.97;13.35;9.18;13.33;10.93;65.29;0;58.36;6.93;65.3;0;22.16;2.729;7.301;1.907;3.244;2.535;6.53;0.199
1;20;50;1343.98;14.56;9.62;13.9;11.37;73.99;4.97;61.56;7.46;74;0;25.474;2.953;7.943;2.109;3.444;2.841;7.399;0.242
1;25;55;1317.08;15.41;9.94;14.34;11.68;80.47;8.75;63.91;7.81;80.5;0;28.018;3.103;8.393;2.257;3.574;3.067;8.056;0.283
1;30;60;1291.79;16.24;10.25;14.77;11.97;86.97;10.57;70.05;6.35;87;0;31.285;2.525;8.822;2.403;3.693;3.293;8.721;0.326
1;35;65;1267.97;17.04;10.54;15.18;12.25;93.44;12.97;74.01;6.46;93.4;0;33.905;2.577;9.224;2.545;3.799;3.515;9.384;0.369
1;40;70;1245.44;17.81;10.82;15.59;12.52;99.86;15.12;79.77;4.98;99.9;0;37.145;1.986;9.599;2.686;3.892;3.735;10.049;0.413
1;45;75;1224.1;18.56;11.09;15.98;12.77;106.27;18.47;82.86;4.94;106.3;0;39.794;1.973;9.953;2.824;3.975;3.952;10.713;0.458
1;50;80;1203.85;19.29;11.35;16.37;13.02;112.58;20.38;88.38;3.82;112.6;0;42.841;1.524;10.281;2.96;4.046;4.166;11.374;0.503
1;55;85;1184.57;19.99;11.6;16.75;13.25;118.85;28.59;86.56;3.69;118.8;0;45.465;1.477;10.587;3.092;4.109;4.375;12.03;0.547
1;60;90;1166.22;20.66;11.84;17.12;13.47;124.98;31.84;89.55;3.58;125;0;48.03;1.434;10.873;3.22;4.163;4.579;12.679;0.592
1;65;95;1148.7;21.31;12.07;17.47;13.68;130.99;36.37;91.15;3.48;131;0;50.544;1.394;11.139;3.346;4.209;4.779;13.322;0.636
1;70;100;1131.97;21.94;12.29;17.82;13.89;136.93;39.19;94.35;3.38;136.9;0;53.022;1.357;11.386;3.468;4.249;4.975;13.955;0.681
