Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;35;65;1262.68;19.38;11.23;16.23;12.94;112.05;19.71;87.35;4.99;112.1;0;41.337;1.97;10.713;2.963;4.24;4.158;11.335;0.412
1;40;70;1240.34;20.44;11.57;16.73;13.25;121.23;28.15;89.1;3.98;121.2;0;45.457;1.57;11.183;3.158;4.346;4.463;12.281;0.462
1;45;75;1219.16;21.44;11.89;17.21;13.55;130.16;34.39;91.94;3.83;130.2;0;49.137;1.512;11.605;3.346;4.433;4.759;13.213;0.511
1;50;80;1199.01;22.4;12.19;17.67;13.83;138.9;38.66;96.55;3.69;138.9;0;52.734;1.461;11.99;3.527;4.504;5.046;14.13;0.559
1;55;85;1179.82;23.3;12.47;18.12;14.09;147.32;46.21;97.54;3.57;147.3;0;56.203;1.416;12.338;3.701;4.561;5.323;15.028;0.607
1;60;90;1161.49;24.16;12.74;18.55;14.33;155.49;50.84;101.19;3.46;155.5;0;59.568;1.374;12.649;3.868;4.605;5.589;15.9;0.655
1;65;95;1143.97;24.97;12.98;18.97;14.56;163.34;62.93;97.05;3.37;163.3;0;62.804;1.337;12.932;4.027;4.639;5.843;16.749;0.701
1;70;100;1127.2;25.74;13.22;19.37;14.77;170.91;68.3;99.33;3.28;170.9;0;65.924;1.303;13.188;4.179;4.665;6.088;17.575;0.747
1;75;105;1111.15;26.47;13.44;19.76;14.97;178.2;73.39;101.62;3.19;178.2;0;68.934;1.271;13.421;4.325;4.683;6.322;18.376;0.792
1;80;110;1095.75;27.16;13.64;20.14;15.16;185.22;78.54;103.57;3.12;185.2;0;71.83;1.242;13.633;4.464;4.696;6.546;19.154;0.837
1;85;115;1080.99;27.81;13.84;20.5;15.34;191.96;79.42;109.49;3.05;192;0;74.615;1.215;13.825;4.597;4.703;6.761;19.907;0.88
1;90;120;1066.82;28.43;14.02;20.86;15.51;198.4;88.17;107.25;2.98;198.4;0;77.276;1.19;14;4.723;4.706;6.965;20.633;0.923
