date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
22.1.2000;-0.85;-0.546559293;-0.396757886;-0.332972035;-0.300482182;-0.280201663;-0.26731943;-0.259585442;-0.255936561;-0.255936561;-0.259585442;-0.26731943;-0.280201663;-0.300482182;-0.332972035;-0.396757886;-0.546559293;-0.85
23.1.2000;-0.85;-0.553305102;-0.40152174;-0.336217747;-0.303637317;-0.283209654;-0.270217585;-0.262414464;-0.258732331;-0.258732331;-0.262414464;-0.270217585;-0.283209654;-0.303637317;-0.336217747;-0.40152174;-0.553305102;-0.85
24.1.2000;-0.85;-0.559993107;-0.406155426;-0.33931073;-0.306690019;-0.286145414;-0.273059464;-0.265196248;-0.261485011;-0.261485011;-0.265196248;-0.273059464;-0.286145414;-0.306690019;-0.33931073;-0.406155426;-0.559993107;-0.85
25.1.2000;-0.85;-0.566590799;-0.410666086;-0.342271481;-0.309644975;-0.289008653;-0.275843062;-0.267927878;-0.2641913;-0.2641913;-0.267927878;-0.275843062;-0.289008653;-0.309644975;-0.342271481;-0.410666086;-0.566590799;-0.85
26.1.2000;-0.85;-0.573057881;-0.41506302;-0.345127115;-0.312511556;-0.291803043;-0.278569794;-0.270609709;-0.266851108;-0.266851108;-0.270609709;-0.278569794;-0.291803043;-0.312511556;-0.345127115;-0.41506302;-0.573057881;-0.85
27.1.2000;-0.85;-0.579345056;-0.419355567;-0.347908696;-0.315300892;-0.294533116;-0.281241478;-0.27324232;-0.269464513;-0.269464513;-0.27324232;-0.281241478;-0.294533116;-0.315300892;-0.347908696;-0.419355567;-0.579345056;-0.85
28.1.2000;-0.85;-0.585393588;-0.423555255;-0.350650586;-0.318024962;-0.297203377;-0.283859829;-0.275825608;-0.272030735;-0.272030735;-0.275825608;-0.283859829;-0.297203377;-0.318024962;-0.350650586;-0.423555255;-0.585393588;-0.85
29.1.2000;-0.85;-0.591143459;-0.427681401;-0.353394082;-0.32070072;-0.299822275;-0.286429525;-0.278362712;-0.274552236;-0.274552236;-0.278362712;-0.286429525;-0.299822275;-0.32070072;-0.353394082;-0.427681401;-0.591143459;-0.85
30.1.2000;-0.85;-0.596542156;-0.431750701;-0.356172019;-0.323342207;-0.302395936;-0.288952782;-0.280854238;-0.277028938;-0.277028938;-0.280854238;-0.288952782;-0.302395936;-0.323342207;-0.356172019;-0.431750701;-0.596542156;-0.85
31.1.2000;-0.85;-0.601559681;-0.435781114;-0.359009978;-0.325964351;-0.304933343;-0.29143517;-0.283304308;-0.279464011;-0.279464011;-0.283304308;-0.29143517;-0.304933343;-0.325964351;-0.359009978;-0.435781114;-0.601559681;-0.85
1.2.2000;-0.85;-0.606176481;-0.439783529;-0.361920665;-0.328574552;-0.307438283;-0.293877826;-0.285712556;-0.28185641;-0.28185641;-0.285712556;-0.293877826;-0.307438283;-0.328574552;-0.361920665;-0.439783529;-0.606176481;-0.85
2.2.2000;-0.85;-0.610394686;-0.443773586;-0.364915323;-0.331182978;-0.309919505;-0.296287727;-0.288084693;-0.284211931;-0.284211931;-0.288084693;-0.296287727;-0.309919505;-0.331182978;-0.364915323;-0.443773586;-0.610394686;-0.85
3.2.2000;-0.85;-0.614226158;-0.447761164;-0.367996143;-0.333792698;-0.312380696;-0.298667759;-0.290422683;-0.286531873;-0.286531873;-0.290422683;-0.298667759;-0.312380696;-0.333792698;-0.367996143;-0.447761164;-0.614226158;-0.85
4.2.2000;-0.85;-0.617696269;-0.451758439;-0.371162661;-0.336405982;-0.314826599;-0.301022776;-0.292730862;-0.28882015;-0.28882015;-0.292730862;-0.301022776;-0.314826599;-0.336405982;-0.371162661;-0.451758439;-0.617696269;-0.85
5.2.2000;-0.85;-0.620835734;-0.455772524;-0.374405398;-0.339018009;-0.317256718;-0.303353363;-0.29500977;-0.29107711;-0.29107711;-0.29500977;-0.303353363;-0.317256718;-0.339018009;-0.374405398;-0.455772524;-0.620835734;-0.85
6.2.2000;-0.85;-0.623684467;-0.459810801;-0.377711593;-0.341622121;-0.319670204;-0.305660611;-0.297260891;-0.293304243;-0.293304243;-0.297260891;-0.305660611;-0.319670204;-0.341622121;-0.377711593;-0.459810801;-0.623684467;-0.85
7.2.2000;-0.85;-0.626291304;-0.463880609;-0.381067968;-0.344213085;-0.322067739;-0.307947668;-0.299488113;-0.29550561;-0.29550561;-0.299488113;-0.307947668;-0.322067739;-0.344213085;-0.381067968;-0.463880609;-0.626291304;-0.85
8.2.2000;-0.85;-0.62870657;-0.467982106;-0.384455462;-0.346782394;-0.324446456;-0.310214415;-0.301692332;-0.297682422;-0.297682422;-0.301692332;-0.310214415;-0.324446456;-0.346782394;-0.384455462;-0.467982106;-0.62870657;-0.85
9.2.2000;-0.85;-0.630984186;-0.472112113;-0.387853097;-0.349321835;-0.326803421;-0.312460821;-0.303874717;-0.299836268;-0.299836268;-0.303874717;-0.312460821;-0.326803421;-0.349321835;-0.387853097;-0.472112113;-0.630984186;-0.85
10.2.2000;-0.85;-0.633178947;-0.476263093;-0.391237275;-0.351822848;-0.329134809;-0.314685923;-0.306035655;-0.301968036;-0.301968036;-0.306035655;-0.314685923;-0.329134809;-0.351822848;-0.391237275;-0.476263093;-0.633178947;-0.85
11.2.2000;-0.85;-0.635340629;-0.48042583;-0.394586845;-0.354278276;-0.331437114;-0.316888828;-0.308175664;-0.304078797;-0.304078797;-0.308175664;-0.316888828;-0.331437114;-0.354278276;-0.394586845;-0.48042583;-0.635340629;-0.85
12.2.2000;-0.85;-0.637503952;-0.484589688;-0.397887139;-0.356682219;-0.333706346;-0.319067695;-0.31029426;-0.306168631;-0.306168631;-0.31029426;-0.319067695;-0.333706346;-0.356682219;-0.397887139;-0.484589688;-0.637503952;-0.85
13.2.2000;-0.85;-0.639692454;-0.488745094;-0.401130392;-0.359032231;-0.335940227;-0.321221777;-0.31239188;-0.308238504;-0.308238504;-0.31239188;-0.321221777;-0.335940227;-0.359032231;-0.401130392;-0.488745094;-0.639692454;-0.85
14.2.2000;-0.85;-0.641918069;-0.492882775;-0.404311039;-0.361326235;-0.338135334;-0.323348547;-0.314466962;-0.310287322;-0.310287322;-0.314466962;-0.323348547;-0.338135334;-0.361326235;-0.404311039;-0.492882775;-0.641918069;-0.85
15.2.2000;-0.85;-0.644185145;-0.496993169;-0.407426711;-0.363563802;-0.340288888;-0.325445525;-0.316517743;-0.312313707;-0.312313707;-0.316517743;-0.325445525;-0.340288888;-0.363563802;-0.407426711;-0.496993169;-0.644185145;-0.85
16.2.2000;-0.85;-0.64649545;-0.501070696;-0.410481682;-0.365750084;-0.342402531;-0.32751402;-0.318545965;-0.31431969;-0.31431969;-0.318545965;-0.32751402;-0.342402531;-0.365750084;-0.410481682;-0.501070696;-0.64649545;-0.85
17.2.2000;-0.85;-0.648844257;-0.50510685;-0.413479878;-0.367889892;-0.344476457;-0.329553308;-0.320551059;-0.316304911;-0.316304911;-0.320551059;-0.329553308;-0.344476457;-0.367889892;-0.413479878;-0.50510685;-0.648844257;-0.85
18.2.2000;-0.85;-0.651224618;-0.509093875;-0.416428146;-0.369990558;-0.346512762;-0.331564088;-0.322533604;-0.318270057;-0.318270057;-0.322533604;-0.331564088;-0.346512762;-0.369990558;-0.416428146;-0.509093875;-0.651224618;-0.85
19.2.2000;-0.85;-0.653627608;-0.513024017;-0.419335498;-0.372061336;-0.348514838;-0.33354799;-0.324494881;-0.320216411;-0.320216411;-0.324494881;-0.33354799;-0.348514838;-0.372061336;-0.419335498;-0.513024017;-0.653627608;-0.85
20.2.2000;-0.85;-0.656040881;-0.516886952;-0.422210817;-0.374111373;-0.350485302;-0.335505573;-0.326434883;-0.3221439;-0.3221439;-0.326434883;-0.335505573;-0.350485302;-0.374111373;-0.422210817;-0.516886952;-0.656040881;-0.85
21.2.2000;-0.85;-0.658442645;-0.520662078;-0.425055784;-0.376143339;-0.35241963;-0.337430012;-0.328346055;-0.324044853;-0.324044853;-0.328346055;-0.337430012;-0.35241963;-0.376143339;-0.425055784;-0.520662078;-0.658442645;-0.85
22.2.2000;-0.85;-0.660818032;-0.52433587;-0.427880002;-0.37816769;-0.354320971;-0.339321832;-0.330227949;-0.325918557;-0.325918557;-0.330227949;-0.339321832;-0.354320971;-0.37816769;-0.427880002;-0.52433587;-0.660818032;-0.85
23.2.2000;-0.85;-0.663160832;-0.527906266;-0.430701249;-0.380201647;-0.356200786;-0.341189942;-0.332088361;-0.327772445;-0.327772445;-0.332088361;-0.341189942;-0.356200786;-0.380201647;-0.430701249;-0.527906266;-0.663160832;-0.85
24.2.2000;-0.85;-0.609503715;-0.468188241;-0.376028825;-0.330270015;-0.305906095;-0.291050535;-0.282206635;-0.27802351;-0.27802351;-0.282206635;-0.291050535;-0.305906095;-0.330270015;-0.376028825;-0.468188241;-0.609503715;-0.85
