date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1.1.2000;-0.9;-0.287251349;-0.228342325;-0.211277792;-0.204744836;-0.202040621;-0.200888048;-0.20039271;-0.200183767;-0.200107284;-0.200107284;-0.200183767;-0.20039271;-0.200888048;-0.202040621;-0.204744836;-0.211277792;-0.228342325;-0.287251349;-0.9
2.1.2000;-0.9;-0.337870721;-0.251883862;-0.224027842;-0.211669298;-0.205732112;-0.202820767;-0.201400106;-0.200732813;-0.200469127;-0.200469127;-0.200732813;-0.201400106;-0.202820767;-0.205732112;-0.211669298;-0.224027842;-0.251883862;-0.337870721;-0.9
3.1.2000;-0.9;-0.372457305;-0.27025205;-0.235641076;-0.219008035;-0.210247668;-0.205528748;-0.20300981;-0.201730223;-0.201195701;-0.201195701;-0.201730223;-0.20300981;-0.205528748;-0.210247668;-0.219008035;-0.235641076;-0.27025205;-0.372457305;-0.9
4.1.2000;-0.9;-0.362645325;-0.252535391;-0.212926058;-0.192292497;-0.180406357;-0.173373535;-0.169245779;-0.166961541;-0.165946799;-0.165946799;-0.166961541;-0.169245779;-0.173373535;-0.180406357;-0.192292497;-0.212926058;-0.252535391;-0.362645325;-0.9
5.1.2000;-0.9;-0.384368092;-0.265980651;-0.223543774;-0.200564592;-0.186788178;-0.178257212;-0.173014753;-0.169993161;-0.168611915;-0.168611915;-0.169993161;-0.173014753;-0.178257212;-0.186788178;-0.200564592;-0.223543774;-0.265980651;-0.384368092;-0.9
6.1.2000;-0.9;-0.389818768;-0.266240894;-0.221984714;-0.197243044;-0.181882803;-0.172047152;-0.165805637;-0.162105746;-0.160378967;-0.160378967;-0.162105746;-0.165805637;-0.172047152;-0.181882803;-0.197243044;-0.221984714;-0.266240894;-0.389818768;-0.9
7.1.2000;-0.9;-0.397514403;-0.269505038;-0.224269303;-0.198360633;-0.181913248;-0.171152727;-0.164187005;-0.159987112;-0.158005196;-0.158005196;-0.159987112;-0.164187005;-0.171152727;-0.181913248;-0.198360633;-0.224269303;-0.269505038;-0.397514403;-0.9
8.1.2000;-0.9;-0.3889753;-0.259710733;-0.212854449;-0.185621121;-0.168026722;-0.156248467;-0.148415247;-0.143591615;-0.141286379;-0.141286379;-0.143591615;-0.148415247;-0.156248467;-0.168026722;-0.185621121;-0.212854449;-0.259710733;-0.3889753;-0.9
9.1.2000;-0.9;-0.388814258;-0.257905209;-0.209918239;-0.181806816;-0.163518261;-0.151173519;-0.142905005;-0.137775031;-0.135310675;-0.135310675;-0.137775031;-0.142905005;-0.151173519;-0.163518261;-0.181806816;-0.209918239;-0.257905209;-0.388814258;-0.9
10.1.2000;-0.9;-0.399333483;-0.265358255;-0.217374265;-0.188995173;-0.170453861;-0.15796724;-0.149649696;-0.144503313;-0.142033834;-0.142033834;-0.144503313;-0.149649696;-0.15796724;-0.170453861;-0.188995173;-0.217374265;-0.265358255;-0.399333483;-0.9
