Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;0;20;1761.21;12.96;9.3;12.28;11;64.54;0;56.08;8.46;64.5;0;18.717;3.172;7.398;1.81;3.511;2.341;5.9;0.07
1;5;25;1673.69;16.77;10.56;13.83;12.3;92.78;0;84.47;8.31;92.8;0;30.186;3.226;9.544;2.43;4.258;3.264;8.493;0.123
1;10;30;1612.66;20.86;11.81;15.42;13.53;126.84;14.34;105.06;7.45;126.8;0;44.123;2.936;11.617;3.135;4.89;4.339;11.655;0.185
1;15;35;1558.89;24.61;12.88;16.86;14.56;161.2;28.97;124.4;7.83;161.2;0;57.828;3.129;13.308;3.814;5.325;5.393;14.898;0.249
1;20;40;1508.98;27.94;13.78;18.19;15.41;193.8;47.7;140.03;6.07;193.8;0;71.844;2.431;14.643;4.44;5.597;6.378;18.067;0.312
1;25;45;1461.23;30.51;14.46;19.3;16.03;220.3;64.14;150.37;5.79;220.3;0;83.017;2.333;15.595;4.939;5.739;7.172;20.734;0.372
1;30;50;1345.83;31.33;14.93;20.38;16.5;232.12;98.19;128.75;5.18;232.1;0;88.571;2.1;16.122;5.155;5.716;7.555;22.257;0.422
1;35;55;1220.46;31.39;15.31;21.41;16.89;237.15;107.98;124.61;4.56;237.2;0;91.387;1.855;16.44;5.238;5.629;7.734;23.184;0.466
1;40;60;1117.36;31.44;15.66;22.38;17.26;241.72;119.42;118.23;4.07;241.7;0;93.897;1.662;16.704;5.307;5.543;7.885;24.016;0.509
