Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;5;35;1459.75;15.83;10.23;14.11;11.92;84.95;5.95;70.89;8.11;85;0;28.743;3.201;9.051;2.308;3.942;3.12;8.16;0.177
1;10;40;1421.18;17.97;10.98;15.02;12.65;102.38;9.99;85.59;6.79;102.4;0;36.344;2.696;10.18;2.676;4.289;3.681;9.801;0.232
1;15;45;1386.94;19.97;11.66;15.88;13.3;119.79;14.52;98.08;7.19;119.8;0;43.274;2.873;11.17;3.033;4.566;4.233;11.461;0.288
1;20;50;1355.1;21.87;12.28;16.7;13.9;137.15;29.49;102.06;5.6;137.2;0;51.005;2.243;12.048;3.379;4.789;4.773;13.126;0.345
1;25;55;1325.17;23.44;12.8;17.41;14.38;152.21;37.1;109.57;5.54;152.2;0;57.253;2.225;12.742;3.674;4.945;5.238;14.599;0.401
1;30;60;1296.89;24.9;13.26;18.09;14.82;166.73;48.12;113.15;5.46;166.7;0;63.296;2.201;13.347;3.954;5.063;5.682;16.039;0.456
1;35;65;1270.09;26.26;13.69;18.73;15.21;180.61;60.58;115.7;4.33;180.6;0;69.521;1.744;13.876;4.218;5.152;6.103;17.428;0.51
1;40;70;1244.66;27.52;14.07;19.35;15.57;193.79;72.79;116.85;4.15;193.8;0;75.074;1.677;14.341;4.466;5.217;6.499;18.767;0.563
1;45;75;1220.48;28.69;14.43;19.93;15.9;206.28;81.24;121.04;4;206.3;0;80.347;1.618;14.75;4.698;5.264;6.873;20.053;0.616
1;50;80;1197.51;29.77;14.75;20.49;16.2;218.05;100.31;113.88;3.86;218;0;85.322;1.565;15.112;4.916;5.295;7.224;21.284;0.667
1;55;85;1175.67;30.78;15.05;21.02;16.48;229.17;109.21;116.22;3.74;229.2;0;90.033;1.517;15.431;5.12;5.315;7.552;22.455;0.717
1;60;90;1154.9;31.71;15.32;21.53;16.74;239.59;121.38;114.59;3.62;239.6;0;94.457;1.473;15.714;5.31;5.324;7.86;23.572;0.767
