Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;15;45;1563.44;12.71;8.72;12.2;10.54;59.84;0;50.67;9.18;59.8;0;19.623;3.677;6.25;1.764;2.93;2.281;5.736;0.179
1;20;50;1540.82;14.18;9.19;12.81;11.01;69.62;0;59.24;10.38;69.6;0;23.11;4.175;6.919;1.998;3.153;2.626;6.686;0.221
1;25;55;1519.16;15.48;9.59;13.35;11.41;78.69;0;69.75;8.94;78.7;0;27.401;3.606;7.487;2.211;3.33;2.945;7.577;0.264
1;30;60;1498.13;16.75;9.98;13.87;11.79;87.94;7.62;72.79;7.53;87.9;0;31.759;3.044;8.007;2.424;3.481;3.266;8.49;0.307
1;35;65;1477.54;17.98;10.35;14.38;12.14;97.28;10.18;79.33;7.77;97.3;0;35.487;3.146;8.487;2.635;3.611;3.588;9.421;0.351
1;40;70;1457.23;19.17;10.7;14.88;12.47;106.66;12.63;87.86;6.17;106.7;0;39.987;2.499;8.917;2.843;3.716;3.908;10.361;0.395
1;45;75;1437.06;20.31;11.03;15.35;12.78;115.91;16.89;94.26;4.77;115.9;0;44.362;1.928;9.304;3.046;3.802;4.222;11.298;0.438
1;50;80;1416.94;21.4;11.34;15.82;13.07;125.06;19.93;100.53;4.6;125.1;0;48.19;1.865;9.649;3.244;3.87;4.531;12.234;0.481
1;55;85;1396.8;22.45;11.64;16.27;13.34;134.06;22.53;107.07;4.45;134.1;0;51.954;1.806;9.957;3.437;3.921;4.833;13.163;0.522
1;60;90;1376.59;23.44;11.92;16.71;13.6;142.87;32.73;105.82;4.32;142.9;0;55.641;1.752;10.231;3.624;3.96;5.127;14.079;0.563
1;65;95;1356.26;24.39;12.18;17.13;13.84;151.38;39.17;108.03;4.19;151.4;0;59.206;1.701;10.474;3.803;3.986;5.412;14.982;0.603
