Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;25;55;1514.68;11.97;8.23;11.76;10.08;53.74;0;42.01;11.73;53.7;0;16.323;4.68;5.788;1.638;2.772;2.095;5.216;0.215
1;30;60;1497.26;12.91;8.54;12.17;10.39;59.68;0;49.25;10.43;59.7;0;19.255;4.17;6.23;1.786;2.922;2.312;5.803;0.252
1;35;65;1480.66;13.84;8.84;12.58;10.69;65.75;0;56.67;9.08;65.7;0;22.26;3.637;6.65;1.935;3.058;2.532;6.406;0.292
1;40;70;1464.72;14.75;9.14;12.97;10.98;71.94;0;64.3;7.64;71.9;0;25.355;3.063;7.048;2.084;3.181;2.756;7.025;0.332
1;45;75;1449.32;15.65;9.42;13.36;11.25;78.22;0;72.14;6.07;78.2;0;28.539;2.436;7.421;2.233;3.29;2.98;7.655;0.373
1;50;80;1434.37;16.53;9.69;13.74;11.51;84.55;0;78.46;6.1;84.6;0;31.107;2.448;7.768;2.382;3.385;3.205;8.294;0.414
1;55;85;1419.77;17.39;9.95;14.1;11.76;90.91;8.81;77.58;4.52;90.9;0;34.333;1.814;8.087;2.529;3.467;3.43;8.941;0.456
1;60;90;1405.46;18.22;10.2;14.46;12;97.29;10.48;82.4;4.4;97.3;0;36.976;1.768;8.385;2.675;3.539;3.654;9.592;0.497
1;65;95;1391.36;19.03;10.44;14.82;12.23;103.61;13.92;85.4;4.29;103.6;0;39.596;1.726;8.658;2.818;3.598;3.875;10.243;0.538
1;70;100;1377.43;19.82;10.68;15.16;12.44;109.88;15.85;89.84;4.19;109.9;0;42.193;1.687;8.91;2.959;3.649;4.094;10.893;0.578
1;75;105;1363.61;20.57;10.9;15.49;12.65;116.08;17.87;94.1;4.1;116.1;0;44.757;1.651;9.14;3.096;3.691;4.307;11.537;0.618
