Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots
1;20;50;1349.03;17.18;10.58;14.95;12.3;94.68;9.2;78.98;6.5;94.7;0;33.789;2.575;9.822;2.554;4.115;3.51;9.332;0.289
1;25;55;1321.34;18.58;11.06;15.58;12.76;106.29;15.76;83.74;6.79;106.3;0;38.383;2.7;10.536;2.802;4.312;3.894;10.479;0.342
1;30;60;1295.35;19.92;11.51;16.19;13.18;117.83;19.33;93.19;5.31;117.8;0;43.664;2.111;11.187;3.044;4.48;4.271;11.628;0.395
1;35;65;1270.83;21.18;11.93;16.78;13.58;129.23;28.71;96.29;4.23;129.2;0;48.737;1.68;11.776;3.278;4.619;4.638;12.767;0.449
1;40;70;1247.58;22.38;12.32;17.34;13.94;140.33;34.26;102.01;4.06;140.3;0;53.325;1.614;12.303;3.503;4.732;4.993;13.89;0.503
1;45;75;1225.47;23.51;12.68;17.88;14.28;151.12;40.88;106.34;3.9;151.1;0;57.791;1.556;12.778;3.719;4.823;5.336;14.992;0.556
1;50;80;1204.4;24.58;13.02;18.4;14.59;161.55;51.36;106.43;3.77;161.5;0;62.106;1.504;13.205;3.926;4.896;5.664;16.067;0.608
1;55;85;1184.3;25.58;13.33;18.89;14.88;171.51;62.65;105.21;3.65;171.5;0;66.234;1.458;13.583;4.121;4.951;5.976;17.106;0.659
1;60;90;1165.09;26.52;13.62;19.37;15.15;181.06;69.01;108.52;3.54;181.1;0;70.197;1.417;13.922;4.307;4.993;6.274;18.112;0.71
1;65;95;1146.73;27.4;13.89;19.83;15.39;190.22;77.29;109.49;3.44;190.2;0;73.997;1.379;14.227;4.483;5.024;6.558;19.085;0.76
1;70;100;1129.16;28.23;14.14;20.27;15.63;198.95;83.9;111.71;3.35;199;0;77.629;1.344;14.502;4.651;5.046;6.827;20.024;0.808
1;75;105;1112.35;29.02;14.37;20.7;15.84;207.3;100.49;103.55;3.26;207.3;0;81.101;1.312;14.75;4.809;5.06;7.083;20.929;0.856
1;80;110;1096.26;29.75;14.59;21.11;16.05;215.26;107.26;104.82;3.19;215.3;0;84.419;1.283;14.973;4.959;5.068;7.326;21.797;0.903
1;85;115;1080.85;30.44;14.8;21.5;16.24;222.81;107.8;111.9;3.12;222.8;0;87.57;1.255;15.175;5.101;5.07;7.556;22.632;0.949
