date;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1.1.2000;-0.7;-0.272793779;-0.224884039;-0.210014802;-0.204230888;-0.201822783;-0.200793981;-0.20035136;-0.200164568;-0.200096181;-0.200096181;-0.200164568;-0.20035136;-0.200793981;-0.201822783;-0.204230888;-0.210014802;-0.224884039;-0.272793779;-0.7
2.1.2000;-0.7;-0.31427336;-0.245857679;-0.221557729;-0.210519805;-0.205175299;-0.202547337;-0.201264067;-0.200661352;-0.200423248;-0.200423248;-0.200661352;-0.201264067;-0.202547337;-0.205175299;-0.210519805;-0.221557729;-0.245857679;-0.31427336;-0.7
3.1.2000;-0.7;-0.342591061;-0.262724427;-0.232308373;-0.21731066;-0.209343568;-0.205039753;-0.202741169;-0.201573982;-0.201086704;-0.201086704;-0.201573982;-0.202741169;-0.205039753;-0.209343568;-0.21731066;-0.232308373;-0.262724427;-0.342591061;-0.7
4.1.2000;-0.7;-0.329217104;-0.243557468;-0.208704659;-0.189957911;-0.179043538;-0.172554813;-0.168739023;-0.166626309;-0.165687796;-0.165687796;-0.166626309;-0.168739023;-0.172554813;-0.179043538;-0.189957911;-0.208704659;-0.243557468;-0.329217104;-0.7
5.1.2000;-0.7;-0.348041066;-0.256947804;-0.21895431;-0.197877714;-0.185120719;-0.177184816;-0.17229735;-0.169477869;-0.168188682;-0.168188682;-0.169477869;-0.17229735;-0.177184816;-0.185120719;-0.197877714;-0.21895431;-0.256947804;-0.348041066;-0.7
6.1.2000;-0.7;-0.35196649;-0.257527387;-0.217274359;-0.194319368;-0.179963581;-0.170735338;-0.164866034;-0.161381726;-0.15975212;-0.15975212;-0.161381726;-0.164866034;-0.170735338;-0.179963581;-0.194319368;-0.217274359;-0.257527387;-0.35196649;-0.7
7.1.2000;-0.7;-0.358882084;-0.261664134;-0.219703856;-0.195366124;-0.179844819;-0.169663251;-0.163059927;-0.159072506;-0.157189322;-0.157189322;-0.159072506;-0.163059927;-0.169663251;-0.179844819;-0.195366124;-0.219703856;-0.261664134;-0.358882084;-0.7
8.1.2000;-0.7;-0.349909442;-0.251482809;-0.208180964;-0.18248512;-0.165771542;-0.154523237;-0.147026008;-0.142403085;-0.140192272;-0.140192272;-0.142403085;-0.147026008;-0.154523237;-0.165771542;-0.18248512;-0.208180964;-0.251482809;-0.349909442;-0.7
9.1.2000;-0.7;-0.349174097;-0.24941699;-0.205098177;-0.178541458;-0.161116691;-0.149281512;-0.141326973;-0.136382338;-0.134004767;-0.134004767;-0.136382338;-0.141326973;-0.149281512;-0.161116691;-0.178541458;-0.205098177;-0.24941699;-0.349174097;-0.7
10.1.2000;-0.7;-0.35934129;-0.257818237;-0.21274464;-0.185746171;-0.168009039;-0.156016544;-0.147997527;-0.143024524;-0.140635446;-0.140635446;-0.143024524;-0.147997527;-0.156016544;-0.168009039;-0.185746171;-0.21274464;-0.257818237;-0.35934129;-0.7
11.1.2000;-0.7;-0.36608988;-0.263224819;-0.217626601;-0.190258538;-0.172226283;-0.160023417;-0.151876755;-0.146832017;-0.144410523;-0.144410523;-0.146832017;-0.151876755;-0.160023417;-0.172226283;-0.190258538;-0.217626601;-0.263224819;-0.36608988;-0.7
12.1.2000;-0.7;-0.362395827;-0.259171053;-0.213142572;-0.185341627;-0.166931614;-0.154389488;-0.145944969;-0.140688294;-0.138157845;-0.138157845;-0.140688294;-0.145944969;-0.154389488;-0.166931614;-0.185341627;-0.213142572;-0.259171053;-0.362395827;-0.7
13.1.2000;-0.7;-0.370553413;-0.266173002;-0.219866922;-0.1919255;-0.173422875;-0.160851979;-0.152445475;-0.14723232;-0.144727619;-0.144727619;-0.14723232;-0.152445475;-0.160851979;-0.173422875;-0.1919255;-0.219866922;-0.266173002;-0.370553413;-0.7
14.1.2000;-0.7;-0.378025727;-0.272545129;-0.22616576;-0.198140911;-0.179552328;-0.1669187;-0.158478138;-0.153265337;-0.150766838;-0.150766838;-0.153265337;-0.158478138;-0.1669187;-0.179552328;-0.198140911;-0.22616576;-0.272545129;-0.378025727;-0.7
