Simulation;Year;Age;N;BA;Hg;Dg;Hdom;Volume;Logs;Pulp;Residue;Yield;Mortaility;Stem;Stem_residue;Branch_living;Branch_dead;Foliage;Stump;Coarse_roots;Fineroots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;0;20;1771.23;12.31;9.04;12.04;10.74;59.89;0;49.71;10.17;59.9;0;16.919;3.86;6.697;1.711;3.2;2.196;5.51;0.069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;5;25;1679.77;15.53;10.22;13.38;11.96;83.64;0;73.54;10.1;83.6;0;26.579;3.952;8.457;2.226;3.83;2.96;7.632;0.117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;10;30;1619.28;19.02;11.42;14.76;13.16;112.58;10.31;93;9.27;112.6;0;38.509;3.683;10.218;2.817;4.406;3.855;10.221;0.174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;15;35;1567.12;22.29;12.49;16.04;14.18;142.36;17.93;116.58;7.86;142.4;0;51.122;3.146;11.713;3.396;4.838;4.748;12.91;0.235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;20;40;1519.18;25.26;13.41;17.24;15.06;171.39;37.69;127.24;6.46;171.4;0;63.526;2.596;12.942;3.943;5.137;5.604;15.592;0.296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;25;45;1473.65;27.63;14.12;18.26;15.73;196.01;48.75;141.08;6.19;196;0;73.852;2.501;13.849;4.396;5.316;6.321;17.926;0.354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;30;50;1430.45;29.74;14.74;19.21;16.31;218.64;78.46;134.25;5.93;218.6;0;83.412;2.407;14.597;4.808;5.431;6.977;20.132;0.411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;35;55;1362;31.07;15.23;20.11;16.78;234.62;96.59;132.5;5.53;234.6;0;90.399;2.256;15.133;5.093;5.462;7.449;21.841;0.462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;60;1250.97;31.15;15.59;21;17.15;239.44;106.98;127.51;4.94;239.4;0;93.001;2.022;15.41;5.171;5.397;7.615;22.67;0.505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;45;65;1157.75;31.23;15.92;21.85;17.5;244.07;117.8;121.8;4.47;244.1;0;95.434;1.833;15.649;5.241;5.333;7.762;23.436;0.547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;50;70;1077.96;31.29;16.23;22.65;17.83;248.29;131.61;113.11;3.57;248.3;0;97.846;1.463;15.852;5.3;5.268;7.888;24.128;0.588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
